log_id,user_id,action_type,action_detail,page_url,ip_address,log_timestamp,session_id,user_agent,geo_location,is_flagged,log_type
45,1,Login,Action on auth,http://localhost:5000/api/auth/login,172.18.0.1,2025-10-19 14:28:25,5cc9e0b0-c476-4b49-a99b-7f3bc561a33c,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,NULL,0,ui_event
46,1,View,Action on orders,http://localhost:5000/api/orders/,172.18.0.1,2025-10-19 14:28:35,5cc9e0b0-c476-4b49-a99b-7f3bc561a33c,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,NULL,0,ui_event
47,1,View,Action on inventory,http://localhost:5000/api/inventory/,172.18.0.1,2025-10-19 14:28:35,5cc9e0b0-c476-4b49-a99b-7f3bc561a33c,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,NULL,0,ui_event
48,1,View,Action on users,http://localhost:5000/api/users/,172.18.0.1,2025-10-19 14:28:35,5cc9e0b0-c476-4b49-a99b-7f3bc561a33c,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,NULL,0,ui_event
49,1,View,Action on inventory,http://localhost:5000/api/inventory/,172.18.0.1,2025-10-19 14:28:35,5cc9e0b0-c476-4b49-a99b-7f3bc561a33c,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,NULL,0,ui_event
50,1,View,Action on users,http://localhost:5000/api/users/,172.18.0.1,2025-10-19 14:28:35,5cc9e0b0-c476-4b49-a99b-7f3bc561a33c,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,NULL,0,ui_event
51,1,View,Action on orders,http://localhost:5000/api/orders/,172.18.0.1,2025-10-19 14:28:35,5cc9e0b0-c476-4b49-a99b-7f3bc561a33c,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,NULL,0,ui_event
52,1,View,Action on users,http://localhost:5000/api/users/,172.18.0.1,2025-10-19 14:55:55,5cc9e0b0-c476-4b49-a99b-7f3bc561a33c,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,NULL,0,ui_event
53,1,Navigate,seeded Navigate action,/dashboard,10.20.233.132,2025-10-19 02:24:41,seed_1_0_8172_0000,SeedAgent/1.0,NULL,0,ui_event
54,1,Edit,seeded Edit action,/inventory,10.20.117.148,2025-10-19 14:39:06,seed_1_0_8172_0001,SeedAgent/1.0,NULL,0,ui_event
55,1,Export,seeded Export action,/export/inventory,10.20.104.93,2025-10-19 06:15:39,seed_1_0_8172_0002,SeedAgent/1.0,NULL,0,ui_event
56,1,Export,seeded Export action,/export/inventory,10.20.57.22,2025-10-19 00:44:45,seed_1_0_8172_0003,SeedAgent/1.0,NULL,0,ui_event
57,1,Export,seeded Export action,/export/inventory,10.20.88.57,2025-10-19 12:45:17,seed_1_0_8172_0004,SeedAgent/1.0,NULL,0,ui_event
58,1,Login,seeded Login action,/api/auth/login,10.20.133.114,2025-10-19 18:29:02,seed_1_0_8172_0005,SeedAgent/1.0,NULL,0,ui_event
59,1,Export,seeded Export action,/export/inventory,10.20.114.5,2025-10-19 02:55:10,seed_1_0_8172_0006,SeedAgent/1.0,NULL,0,ui_event
60,1,Export,seeded Export action,/export/inventory,10.20.157.63,2025-10-19 08:10:21,seed_1_0_8172_0007,SeedAgent/1.0,NULL,0,ui_event
61,1,Click,seeded Click action,/dashboard,10.20.166.152,2025-10-19 22:44:49,seed_1_0_8172_0008,SeedAgent/1.0,NULL,0,ui_event
62,1,Login,seeded Login action,/api/auth/login,10.20.74.2,2025-10-19 12:16:07,seed_1_0_8172_0009,SeedAgent/1.0,NULL,0,ui_event
63,1,LoginFail,seeded LoginFail action,/api/auth/login,10.20.118.181,2025-10-19 13:41:12,seed_1_0_8172_0010,SeedAgent/1.0,NULL,0,ui_event
64,1,Click,seeded Click action,/dashboard,10.20.30.5,2025-10-19 04:49:04,seed_1_0_8172_0011,SeedAgent/1.0,NULL,0,ui_event
65,1,Export,seeded Export action,/export/inventory,10.20.15.83,2025-10-19 15:52:38,seed_1_0_8172_0012,SeedAgent/1.0,NULL,0,ui_event
66,1,Navigate,seeded Navigate action,/dashboard,10.20.156.70,2025-10-19 15:41:35,seed_1_0_8172_0013,SeedAgent/1.0,NULL,0,ui_event
67,1,Navigate,seeded Navigate action,/dashboard,10.20.221.129,2025-10-19 16:39:13,seed_1_0_8172_0014,SeedAgent/1.0,NULL,0,ui_event
68,1,View,seeded View action,/inventory,10.20.102.237,2025-10-19 01:05:29,seed_1_0_8172_0015,SeedAgent/1.0,NULL,0,ui_event
69,1,Export,seeded Export action,/export/inventory,10.20.227.134,2025-10-19 09:25:46,seed_1_0_8172_0016,SeedAgent/1.0,NULL,0,ui_event
70,1,View,seeded View action,/inventory,10.20.133.129,2025-10-19 01:58:55,seed_1_0_8172_0017,SeedAgent/1.0,NULL,0,ui_event
71,1,Login,seeded Login action,/api/auth/login,10.20.105.164,2025-10-19 12:02:58,seed_1_0_8172_0018,SeedAgent/1.0,NULL,0,ui_event
72,1,LoginFail,seeded LoginFail action,/api/auth/login,10.20.58.160,2025-10-19 12:26:09,seed_1_0_8172_0019,SeedAgent/1.0,NULL,0,ui_event
73,1,Export,seeded Export action,/export/inventory,10.20.114.45,2025-10-19 01:32:26,seed_1_0_8172_0020,SeedAgent/1.0,NULL,0,ui_event
74,1,Navigate,seeded Navigate action,/dashboard,10.20.160.48,2025-10-19 01:09:43,seed_1_0_8172_0021,SeedAgent/1.0,NULL,0,ui_event
75,1,Login,seeded Login action,/api/auth/login,10.20.7.223,2025-10-19 09:47:33,seed_1_0_8172_0022,SeedAgent/1.0,NULL,0,ui_event
76,1,Navigate,seeded Navigate action,/dashboard,10.20.112.57,2025-10-19 00:47:19,seed_1_0_8172_0023,SeedAgent/1.0,NULL,0,ui_event
77,1,Export,seeded Export action,/export/inventory,10.20.4.226,2025-10-18 01:10:19,seed_1_1_2204_0000,SeedAgent/1.0,NULL,0,ui_event
78,1,Export,seeded Export action,/export/inventory,10.20.117.227,2025-10-18 11:55:52,seed_1_1_2204_0001,SeedAgent/1.0,NULL,0,ui_event
79,1,Click,seeded Click action,/dashboard,10.20.233.39,2025-10-18 13:31:34,seed_1_1_2204_0002,SeedAgent/1.0,NULL,0,ui_event
80,1,View,seeded View action,/inventory,10.20.121.94,2025-10-18 01:06:03,seed_1_1_2204_0003,SeedAgent/1.0,NULL,0,ui_event
81,1,Navigate,seeded Navigate action,/dashboard,10.20.12.3,2025-10-18 01:58:28,seed_1_1_2204_0004,SeedAgent/1.0,NULL,0,ui_event
82,1,View,seeded View action,/inventory,10.20.191.113,2025-10-18 12:06:51,seed_1_1_2204_0005,SeedAgent/1.0,NULL,0,ui_event
83,1,View,seeded View action,/inventory,10.20.97.149,2025-10-18 11:13:58,seed_1_1_2204_0006,SeedAgent/1.0,NULL,0,ui_event
84,1,View,seeded View action,/inventory,10.20.128.175,2025-10-18 15:35:59,seed_1_1_2204_0007,SeedAgent/1.0,NULL,0,ui_event
85,1,Login,seeded Login action,/api/auth/login,10.20.11.32,2025-10-18 00:53:58,seed_1_1_2204_0008,SeedAgent/1.0,NULL,0,ui_event
86,1,Navigate,seeded Navigate action,/dashboard,10.20.114.182,2025-10-18 05:00:43,seed_1_1_2204_0009,SeedAgent/1.0,NULL,0,ui_event
87,1,Click,seeded Click action,/dashboard,10.20.201.101,2025-10-18 14:14:46,seed_1_1_2204_0010,SeedAgent/1.0,NULL,0,ui_event
88,1,Navigate,seeded Navigate action,/dashboard,10.20.159.62,2025-10-18 16:30:13,seed_1_1_2204_0011,SeedAgent/1.0,NULL,0,ui_event
89,1,Click,seeded Click action,/dashboard,10.20.237.142,2025-10-18 18:53:01,seed_1_1_2204_0012,SeedAgent/1.0,NULL,0,ui_event
90,1,View,seeded View action,/inventory,10.20.221.16,2025-10-18 04:17:58,seed_1_1_2204_0013,SeedAgent/1.0,NULL,0,ui_event
91,1,Navigate,seeded Navigate action,/dashboard,10.20.197.232,2025-10-18 17:10:35,seed_1_1_2204_0014,SeedAgent/1.0,NULL,0,ui_event
92,1,Click,seeded Click action,/dashboard,10.20.175.177,2025-10-18 23:19:05,seed_1_1_2204_0015,SeedAgent/1.0,NULL,0,ui_event
93,1,Navigate,seeded Navigate action,/dashboard,10.20.222.185,2025-10-18 06:50:30,seed_1_1_2204_0016,SeedAgent/1.0,NULL,0,ui_event
94,1,Login,seeded Login action,/api/auth/login,10.20.40.143,2025-10-18 01:56:32,seed_1_1_2204_0017,SeedAgent/1.0,NULL,0,ui_event
95,1,Navigate,seeded Navigate action,/dashboard,10.20.208.78,2025-10-18 16:04:40,seed_1_1_2204_0018,SeedAgent/1.0,NULL,0,ui_event
96,1,Login,seeded Login action,/api/auth/login,10.20.238.71,2025-10-18 05:23:00,seed_1_1_2204_0019,SeedAgent/1.0,NULL,0,ui_event
97,1,Navigate,seeded Navigate action,/dashboard,10.20.198.28,2025-10-18 16:11:10,seed_1_1_2204_0020,SeedAgent/1.0,NULL,0,ui_event
98,1,LoginFail,seeded LoginFail action,/api/auth/login,10.20.118.237,2025-10-18 03:51:00,seed_1_1_2204_0021,SeedAgent/1.0,NULL,0,ui_event
99,1,Navigate,seeded Navigate action,/dashboard,10.20.134.148,2025-10-18 09:31:34,seed_1_1_2204_0022,SeedAgent/1.0,NULL,0,ui_event
100,1,Navigate,seeded Navigate action,/dashboard,10.20.134.84,2025-10-18 03:40:12,seed_1_1_2204_0023,SeedAgent/1.0,NULL,0,ui_event
101,1,Login,seeded Login action,/api/auth/login,10.20.71.141,2025-10-18 07:16:03,seed_1_1_2204_0024,SeedAgent/1.0,NULL,0,ui_event
102,1,Login,seeded Login action,/api/auth/login,10.20.60.194,2025-10-18 11:31:06,seed_1_1_2204_0025,SeedAgent/1.0,NULL,0,ui_event
103,1,Click,seeded Click action,/dashboard,10.20.128.97,2025-10-18 02:09:05,seed_1_1_2204_0026,SeedAgent/1.0,NULL,0,ui_event
104,1,Navigate,seeded Navigate action,/dashboard,10.20.26.226,2025-10-18 20:56:39,seed_1_1_2204_0027,SeedAgent/1.0,NULL,0,ui_event
105,1,Click,seeded Click action,/dashboard,10.20.47.189,2025-10-18 01:36:53,seed_1_1_2204_0028,SeedAgent/1.0,NULL,0,ui_event
106,1,Click,seeded Click action,/dashboard,10.20.217.86,2025-10-18 09:25:46,seed_1_1_2204_0029,SeedAgent/1.0,NULL,0,ui_event
107,1,Login,seeded Login action,/api/auth/login,10.20.80.176,2025-10-18 07:33:09,seed_1_1_2204_0030,SeedAgent/1.0,NULL,0,ui_event
108,1,Export,seeded Export action,/export/inventory,10.20.138.131,2025-10-18 02:43:04,seed_1_1_2204_0031,SeedAgent/1.0,NULL,0,ui_event
109,1,View,seeded View action,/inventory,10.20.187.202,2025-10-18 08:32:10,seed_1_1_2204_0032,SeedAgent/1.0,NULL,0,ui_event
110,1,Edit,seeded Edit action,/inventory,10.20.120.10,2025-10-18 19:44:51,seed_1_1_2204_0033,SeedAgent/1.0,NULL,0,ui_event
111,1,Export,seeded Export action,/export/inventory,10.20.227.120,2025-10-18 09:58:07,seed_1_1_2204_0034,SeedAgent/1.0,NULL,0,ui_event
112,1,Export,seeded Export action,/export/inventory,10.20.25.17,2025-10-18 19:42:16,seed_1_1_2204_0035,SeedAgent/1.0,NULL,0,ui_event
113,1,Export,seeded Export action,/export/inventory,10.20.148.193,2025-10-17 18:20:44,seed_1_2_9687_0000,SeedAgent/1.0,NULL,0,ui_event
